,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
13,Ghostbusters: Answer the Call,2016,PG-13,117,"Action, Comedy, Fantasy",6.5,60,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","Director:PaulFeig|Stars:MelissaMcCarthy,KristenWiig,KateMcKinnon,LeslieJones",217348
14,Doom Patrol,2019– ,TV-MA,60,"Action, Adventure, Comedy",7.9,NA,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"Stars:DianeGuerrero,AprilBowlby,MattBomer,BrendanFraser",46549
15,The Umbrella Academy,2019– ,TV-14,60,"Action, Adventure, Comedy",8.0,NA,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Stars:ElliotPage,TomHopper,DavidCastañeda,EmmyRaver-Lampman",187268
16,Hit-Monkey,2021– ,TV-MA,22,"Animation, Action, Adventure",8.0,NA,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld.","Stars:FredTatasciore,JasonSudeikis,OliviaMunn,GeorgeTakei",1463
17,WandaVision,2021,TV-PG,350,"Action, Comedy, Drama",8.0,NA,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.","Stars:ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris",244751
18,Jumanji: The Next Level,2019,PG-13,123,"Action, Adventure, Comedy",6.7,58,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","Director:JakeKasdan|Stars:DwayneJohnson,JackBlack,KevinHart,KarenGillan",223487
19,Deadpool,2016,R,108,"Action, Adventure, Comedy",8.0,65,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Director:TimMiller|Stars:RyanReynolds,MorenaBaccarin,T.J.Miller,EdSkrein",961389
20,Spider-Man: Into the Spider-Verse,2018,PG,117,"Animation, Action, Adventure",8.4,87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Directors:BobPersichetti,PeterRamsey,RodneyRothman|Stars:ShameikMoore,JakeJohnson,HaileeSteinfeld,MahershalaAli",439292
21,Cobra Kai,2018– ,TV-14,30,"Action, Comedy, Drama",8.6,NA,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Stars:CourtneyHenggeler,MaryMouser,TannerBuchanan,RalphMacchio",129638
22,Here Comes the Boom,2012,PG,105,"Action, Comedy, Sport",6.4,40,A high-school biology teacher looks to become a successful mixed martial arts fighter in an effort to raise money to prevent extracurricular activities from being axed at his cash-strapped school.,"Director:FrankCoraci|Stars:KevinJames,SalmaHayek,HenryWinkler,GregGermann",88795
23,Deadpool 2,2018,R,119,"Action, Adventure, Comedy",7.7,66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","Director:DavidLeitch|Stars:RyanReynolds,JoshBrolin,MorenaBaccarin,JulianDennison",527661
24,The Gentlemen,2019,R,113,"Action, Comedy, Crime",7.8,51,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Director:GuyRitchie|Stars:MatthewMcConaughey,CharlieHunnam,MichelleDockery,JeremyStrong",288105
