,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
40,Big Sky,2020– ,TV-14,60,"Crime, Drama, Mystery",6.8,NA,A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,"Stars:KatherynWinnick,KylieBunbury,BrianGeraghty,DedeePfeiffer",13205
41,Lost,2004–2010,TV-14,44,"Adventure, Drama, Fantasy",8.3,NA,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Stars:JorgeGarcia,JoshHolloway,YunjinKim,EvangelineLilly",523956
42,The X-Files,1993–2018,TV-14,45,"Crime, Drama, Mystery",8.6,NA,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","Stars:DavidDuchovny,GillianAnderson,MitchPileggi,WilliamB.Davis",211509
43,Doom Patrol,2019– ,TV-MA,60,"Action, Adventure, Comedy",7.9,NA,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"Stars:DianeGuerrero,AprilBowlby,MattBomer,BrendanFraser",46549
44,Star Trek: The Next Generation,1987–1994,TV-PG,44,"Action, Adventure, Mystery",8.6,NA,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","Stars:PatrickStewart,BrentSpiner,JonathanFrakes,LeVarBurton",111048
45,Blue Bloods,2010– ,TV-14,43,"Crime, Drama, Mystery",7.6,NA,Revolves around a family of New York cops.,"Stars:DonnieWahlberg,BridgetMoynahan,WillEstes,LenCariou",36148
46,The Chestnut Man,2021– ,TV-MA,50,"Crime, Drama, Mystery",7.8,NA,A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,"Stars:DavidDencik,DanicaCurcic,MikkelBoeFølsgaard,IbenDorner",29726
47,Nine Perfect Strangers,2021,TV-MA,388,"Drama, Mystery, Thriller",7.0,NA,Nine stressed city dwellers visit a boutique health-and-wellness resort that promises healing and transformation. The resort's director is a woman on a mission to reinvigorate their tired minds and bodies.,"Stars:NicoleKidman,MelissaMcCarthy,MichaelShannon,LukeEvans",35968
48,Mare of Easttown,2021,TV-MA,60,"Crime, Drama, Mystery",8.5,NA,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,"Stars:KateWinslet,JulianneNicholson,JeanSmart,AngourieRice",117841
49,Psych 3: This Is Gus,2021 TV Movie,TV-PG,96,"Comedy, Crime, Mystery",8.1,NA,"In preparation for a shotgun wedding before the birth of Baby Guster, Shawn and Groomzilla Gus go rogue in an attempt to track down Selene's estranged husband, as Lassiter grapples with the future of his career.","Director:SteveFranks|Stars:JamesRodayRodriguez,DuléHill,TimothyOmundson,MaggieLawson",1477
