,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
32,Black Widow,2021,PG-13,134,"Action, Adventure, Sci-Fi",6.7,67,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Director:CateShortland|Stars:ScarlettJohansson,FlorencePugh,DavidHarbour,RachelWeisz",288107
33,Jurassic World: Dominion,2022,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,Plot kept under wraps.,"Director:ColinTrevorrow|Stars:DaniellaPineda,BryceDallasHoward,ChrisPratt,JeffGoldblum",
34,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
35,The Suicide Squad,2021,R,132,"Action, Adventure, Comedy",7.3,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Director:JamesGunn|Stars:MargotRobbie,IdrisElba,JohnCena,JoelKinnaman",255114
36,Money Heist,2017–2021,TV-MA,70,"Action, Crime, Drama",8.2,NA,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Stars:ÚrsulaCorberó,ÁlvaroMorte,ItziarItuño,PedroAlonso",405264
37,The Batman,2022,NA,NA,"Action, Crime, Drama",NA,NA,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","Director:MattReeves|Stars:BarryKeoghan,PeterSarsgaard,AndySerkis,RobertPattinson",
38,Vikings,2013–2020,TV-MA,44,"Action, Adventure, Drama",8.5,NA,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Stars:KatherynWinnick,GustafSkarsgård,AlexanderLudwig,GeorgiaHirst",478745
39,The Boys,2019– ,TV-MA,60,"Action, Crime, Drama",8.7,NA,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Stars:KarlUrban,JackQuaid,AntonyStarr,ErinMoriarty",325718
40,Chicago Fire,2012– ,TV-14,43,"Action, Drama",8.0,NA,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.","Stars:TaylorKinney,ChristianStolte,EamonnWalker,JoeMinoso",49605
41,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
42,Venom,2018,PG-13,112,"Action, Adventure, Sci-Fi",6.7,35,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Director:RubenFleischer|Stars:TomHardy,MichelleWilliams,RizAhmed,ScottHaze",432484
43,Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi",7.3,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","Director:SamRaimi|Stars:TobeyMaguire,KirstenDunst,WillemDafoe,JamesFranco",736039
44,Attack on Titan,2013–2022,TV-MA,24,"Animation, Action, Adventure",9.0,NA,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:YûkiKaji,MarinaInoue,JoshGrelle,YuiIshikawa",261112
45,Loki,2021– ,TV-14,NA,"Action, Adventure, Fantasy",8.3,NA,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Stars:TomHiddleston,OwenWilson,GuguMbatha-Raw,SophiaDiMartino",228641
46,Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",8.4,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Directors:AnthonyRusso,JoeRusso|Stars:RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth",966340
47,The Matrix,1999,R,136,"Action, Sci-Fi",8.7,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors:LanaWachowski,LillyWachowski|Stars:KeanuReeves,LaurenceFishburne,Carrie-AnneMoss,HugoWeaving",1781591
48,One Piece,1999– ,TV-14,24,"Animation, Action, Adventure",8.8,NA,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Stars:MayumiTanaka,TonyBeck,LaurentVernin,AkemiOkamura",89013
49,Army of the Dead,2021,R,148,"Action, Crime, Horror",5.8,57,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Director:ZackSnyder|Stars:DaveBautista,EllaPurnell,AnadelaReguera,OmariHardwick",154283
