,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
32,Vikings,2013–2020,TV-MA,44,"Action, Adventure, Drama",8.5,NA,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Stars:KatherynWinnick,GustafSkarsgård,AlexanderLudwig,GeorgiaHirst",478745
33,Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",7.6,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Director:ChrisColumbus|Stars:DanielRadcliffe,RupertGrint,RichardHarris,MaggieSmith",711686
34,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
35,Venom,2018,PG-13,112,"Action, Adventure, Sci-Fi",6.7,35,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Director:RubenFleischer|Stars:TomHardy,MichelleWilliams,RizAhmed,ScottHaze",432484
36,Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi",7.3,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","Director:SamRaimi|Stars:TobeyMaguire,KirstenDunst,WillemDafoe,JamesFranco",736039
37,Attack on Titan,2013–2022,TV-MA,24,"Animation, Action, Adventure",9.0,NA,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:YûkiKaji,MarinaInoue,JoshGrelle,YuiIshikawa",261112
38,Loki,2021– ,TV-14,NA,"Action, Adventure, Fantasy",8.3,NA,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Stars:TomHiddleston,OwenWilson,GuguMbatha-Raw,SophiaDiMartino",228641
39,A Castle for Christmas,2021,TV-G,98,"Adventure, Comedy, Family",5.6,NA,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.","Director:MaryLambert|Stars:BrookeShields,CaryElwes,LeeRoss,AndiOsho",2865
40,Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",8.4,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Directors:AnthonyRusso,JoeRusso|Stars:RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth",966340
41,Cruella,2021,PG-13,134,"Adventure, Comedy, Crime",7.4,59,A live-action prequel feature film following a young Cruella de Vil.,"Director:CraigGillespie|Stars:EmmaStone,EmmaThompson,JoelFry,PaulWalterHauser",192357
42,One Piece,1999– ,TV-14,24,"Animation, Action, Adventure",8.8,NA,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Stars:MayumiTanaka,TonyBeck,LaurentVernin,AkemiOkamura",89013
43,Legacies,2018– ,TV-14,45,"Adventure, Drama, Fantasy",7.4,NA,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Stars:DanielleRoseRussell,QuincyFouse,MatthewDavis,AriaShahghasemi",25584
44,Elf,2003,PG,97,"Adventure, Comedy, Family",7.0,64,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","Director:JonFavreau|Stars:WillFerrell,JamesCaan,BobNewhart,ZooeyDeschanel",242355
45,Rick and Morty,2013– ,TV-MA,23,"Animation, Adventure, Comedy",9.2,NA,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Stars:JustinRoiland,ChrisParnell,SpencerGrammer,SarahChalke",444640
46,Spectre,I 2015,PG-13,148,"Action, Adventure, Thriller",6.8,60,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Director:SamMendes|Stars:DanielCraig,ChristophWaltz,LéaSeydoux,RalphFiennes",418671
47,What If...?,2021– ,TV-14,NA,"Animation, Action, Adventure",7.5,NA,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.","Stars:JeffreyWright,TerriDouglas,MatthewWood,RobinAtkinDownes",68463
48,Zeros and Ones,2021,R,85,"Action, Adventure, Drama",3.3,59,"An American soldier stationed in Rome with the Vatican blown up, embarks on a hero's journey to uncover and defend against an unknown enemy threatening the entire world.","Director:AbelFerrara|Stars:EthanHawke,ValerioMastandrea,SalvatoreRuocco,CristinaChiriac",846
49,Spider-Man: Homecoming,2017,PG-13,133,"Action, Adventure, Sci-Fi",7.4,73,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Director:JonWatts|Stars:TomHolland,MichaelKeaton,RobertDowneyJr.,MarisaTomei",566273
