,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
10,Foundation,2021– ,TV-14,60,"Drama, Sci-Fi",7.4,NA,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,"Stars:LouLlobell,JaredHarris,LeePace,LeahHarvey",35571
11,The Matrix Resurrections,2021,R,148,"Action, Sci-Fi",NA,NA,The plot is currently unknown.,"Director:LanaWachowski|Stars:KeanuReeves,ChristinaRicci,PriyankaChopraJonas,Carrie-AnneMoss",
12,Doctor Who,2005– ,TV-PG,45,"Adventure, Drama, Family",8.6,NA,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Stars:JodieWhittaker,PeterCapaldi,PearlMackie,MattSmith",211119
13,Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",7.8,71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",384213
14,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
15,Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.2,62,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Director:ShawnLevy|Stars:RyanReynolds,JodieComer,TaikaWaititi,LilRelHowery",218636
16,Finch,2021,PG-13,115,"Adventure, Drama, Sci-Fi",6.9,56,"On a post-apocalyptic earth, a robot, built to protect the life of his creator's beloved dog, learns about life, love, friendship and what it means to be human.","Director:MiguelSapochnik|Stars:TomHanks,CalebLandryJones,MarieWagenman,LoraMartinez-Cunningham",46435
17,Don't Look Up,2021,R,145,"Comedy, Drama, Sci-Fi",NA,NA,Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.,"Director:AdamMcKay|Stars:TimothéeChalamet,LeonardoDiCaprio,JenniferLawrence,MelanieLynskey",
18,Star Trek: Discovery,2017– ,TV-14,60,"Action, Adventure, Drama",7.2,NA,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Stars:SonequaMartin-Green,DougJones,AnthonyRapp,MaryWiseman",105912
19,Stranger Things,2016– ,TV-14,51,"Drama, Fantasy, Horror",8.7,NA,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Stars:MillieBobbyBrown,FinnWolfhard,WinonaRyder,DavidHarbour",936125
20,The Mandalorian,2019– ,TV-14,40,"Action, Adventure, Fantasy",8.8,NA,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Stars:PedroPascal,CarlWeathers,BarryLowin,GinaCarano",371183
21,The Flash,2014– ,TV-PG,43,"Action, Adventure, Drama",7.6,NA,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Stars:GrantGustin,CandicePatton,DaniellePanabaker,CarlosValdes",328176
