,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
11,Supernatural,2005–2020,TV-14,44,"Drama, Fantasy, Horror",8.4,NA,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Stars:JaredPadalecki,JensenAckles,JimBeaver,MishaCollins",414740
12,What We Do in the Shadows,2016– ,TV-MA,30,"Comedy, Fantasy, Horror",8.6,NA,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","Stars:KayvanNovak,MattBerry,NatasiaDemetriou,HarveyGuillén",56754
13,Fear the Walking Dead,2015– ,TV-MA,44,"Drama, Horror, Sci-Fi",6.9,NA,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","Stars:KimDickens,FrankDillane,CliffCurtis,RubénBlades",122556
14,Old,2021,PG-13,108,"Drama, Horror, Mystery",5.8,55,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","Director:M.NightShyamalan|Stars:GaelGarcíaBernal,VickyKrieps,RufusSewell,AlexWolff",69961
15,Attack on Titan,2013–2022,TV-MA,24,"Animation, Action, Adventure",9.0,NA,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:YûkiKaji,MarinaInoue,JoshGrelle,YuiIshikawa",261112
16,The Vampire Diaries,2009–2017,TV-14,43,"Drama, Fantasy, Horror",7.7,NA,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars:NinaDobrev,PaulWesley,IanSomerhalder,KatGraham",301294
17,Titane,2021,R,108,"Drama, Horror, Sci-Fi",6.7,74,"Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.","Director:JuliaDucournau|Stars:VincentLindon,AgatheRousselle,GaranceMarillier,LaïsSalameh",18349
18,Army of the Dead,2021,R,148,"Action, Crime, Horror",5.8,57,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Director:ZackSnyder|Stars:DaveBautista,EllaPurnell,AnadelaReguera,OmariHardwick",154283
19,Legacies,2018– ,TV-14,45,"Adventure, Drama, Fantasy",7.4,NA,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Stars:DanielleRoseRussell,QuincyFouse,MatthewDavis,AriaShahghasemi",25584
20,Silent Night,2021,NA,92,"Comedy, Drama, Horror",6.4,54,"Nell, Simon, and their son Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.","Director:CamilleGriffin|Stars:AnnabelleWallis,KeiraKnightley,MatthewGoode,Lily-RoseDepp",453
21,Malignant,I 2021,R,111,"Crime, Horror, Mystery",6.3,51,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.","Director:JamesWan|Stars:AnnabelleWallis,MaddieHasson,GeorgeYoung,MicholeBrianaWhite",63652
22,The Walking Dead: World Beyond,2020–2021,TV-14,60,"Drama, Horror, Sci-Fi",4.3,NA,The series will focus on the first generation to grow up during the zombie apocalypse.,"Stars:JuliaOrmond,NicolasCantu,AlexaMansour,NicoTortorella",12319
23,The Black Phone,2021,R,102,Horror,7.9,79,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.","Director:ScottDerrickson|Stars:EthanHawke,JeremyDavies,JamesRansone,MadeleineMcGraw",448
24,Midsommar,2019,R,148,"Drama, Horror, Mystery",7.1,72,A couple travels to Eastern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"Director:AriAster|Stars:FlorencePugh,JackReynor,VilhelmBlomgren,WilliamJacksonHarper",264905
25,Halloween Kills,2021,R,105,"Horror, Thriller",5.7,42,The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,"Director:DavidGordonGreen|Stars:JamieLeeCurtis,JudyGreer,AndiMatichak,JamesJudeCourtney",58310
26,Doctor Sleep,2019,R,152,"Drama, Fantasy, Horror",7.3,59,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","Director:MikeFlanagan|Stars:EwanMcGregor,RebeccaFerguson,KylieghCurran,CliffCurtis",172074
27,Chhorii,2021,NA,129,"Drama, Horror, Thriller",7.3,NA,Eight-month pregnant Sakshi must save herself and her unborn child from the evil within society and from the fear that lies in the paranormal world.,"Director:VishalFuria|Stars:NushrrattBharuccha,MitaVashisht,SaurabhGoyal,PallaviAjay",1940
28,Antlers,2021,R,99,"Drama, Horror, Mystery",6.3,57,"In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.","Director:ScottCooper|Stars:KeriRussell,JessePlemons,JeremyT.Thomas,GrahamGreene",5986
29,The Haunting of Hill House,2018,TV-MA,572,"Drama, Horror, Mystery",8.6,NA,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Stars:MichielHuisman,CarlaGugino,HenryThomas,ElizabethReaser",213971
30,The Originals,2013–2018,TV-14,45,"Drama, Fantasy, Horror",8.2,NA,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,"Stars:JosephMorgan,DanielGillies,ClaireHolt,PhoebeTonkin",126655
31,In the Dark,2019– ,TV-14,42,"Action, Crime, Horror",7.6,NA,A blind young woman tries to solve her friend's murder.,"Stars:PerryMattfeld,BrookeMarkham,MorganKrantz,CaseyDeidrick",9716
32,American Psycho,2000,R,101,"Crime, Drama, Horror",7.6,64,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Director:MaryHarron|Stars:ChristianBale,JustinTheroux,JoshLucas,BillSage",535295
33,Candyman,2021,R,91,"Horror, Thriller",5.9,72,A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.,"Director:NiaDaCosta|Stars:YahyaAbdul-MateenII,TeyonahParris,NathanStewart-Jarrett,ColmanDomingo",43320
34,Lamb,II 2021,R,106,"Drama, Horror, Mystery",6.3,69,"A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.","Director:ValdimarJóhannsson|Stars:NoomiRapace,HilmirSnærGuðnason,BjörnHlynurHaraldsson,IngvarSigurdsson",10676
35,The Feast,2021,NA,93,"Drama, Horror, Mystery",5.6,NA,"Filmed in Welsh, the picture follows a young woman serving privileged guests at a dinner party in a remote house in rural Wales. The assembled guests do not realize they are about to eat their last supper.","Director:LeeHavenJones|Stars:AnnesElwy,NiaRoberts,JulianLewisJones,SteffanCennydd",648
36,Hypnotic,2021,TV-14,88,"Drama, Horror, Mystery",5.2,32,"A young woman seeking self-improvement enlists the help of a renowned hypnotherapist. But after a handful of intense sessions, she discovers unexpected and deadly consequences.","Directors:MattAngel,SuzanneCoote|Stars:KateSiegel,JasonO'Mara,DuléHill,LucieGuest",10841
37,Dracula,1992,R,128,"Drama, Fantasy, Horror",7.4,57,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,"Director:FrancisFordCoppola|Stars:GaryOldman,WinonaRyder,AnthonyHopkins,KeanuReeves",206792
38,The Hunt,II 2020,R,90,"Action, Horror, Thriller",6.5,50,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.","Director:CraigZobel|Stars:BettyGilpin,HilarySwank,IkeBarinholtz,WayneDuvall",93101
39,Scream,I 2022,NA,114,"Horror, Mystery, Thriller",NA,NA,"Twenty-five years after the original series of murders in Woodsboro, a new killer emerges, and Sidney Prescott must return to uncover the truth.","Directors:MattBettinelli-Olpin,TylerGillett|Stars:NeveCampbell,CourteneyCox,DavidArquette,MarleyShelton",
40,A Quiet Place Part II,2020,PG-13,97,"Drama, Horror, Sci-Fi",7.3,71,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.","Director:JohnKrasinski|Stars:EmilyBlunt,MillicentSimmonds,CillianMurphy,JohnKrasinski",176716
41,Alien,1979,R,117,"Horror, Sci-Fi",8.4,89,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","Director:RidleyScott|Stars:SigourneyWeaver,TomSkerritt,JohnHurt,VeronicaCartwright",832067
42,A House on the Bayou,2021,NA,88,"Horror, Mystery, Thriller",5.4,NA,"Follows a troubled couple and their daughter who go on vacation to an isolated house in the Louisiana bayou to reconnect as a family. But when unexpected visitors arrive, the unity starts to unravel.","Director:AlexMcAulay|Stars:AngelaSarafyan,PaulSchneider,LiaMcHugh,JacobLofland",554
43,The Night House,2020,R,107,"Horror, Mystery, Thriller",6.5,68,A widow begins to uncover her recently deceased husband's disturbing secrets.,"Director:DavidBruckner|Stars:RebeccaHall,SarahGoldberg,VondieCurtis-Hall,EvanJonigkeit",25653
44,Doctor Strange in the Multiverse of Madness,2022,NA,NA,"Action, Adventure, Fantasy",NA,NA,Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.,"Director:SamRaimi|Stars:BenedictCumberbatch,ElizabethOlsen,RachelMcAdams,BenedictWong",
45,The Trip,2021,TV-MA,113,"Action, Comedy, Horror",6.9,NA,"A dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. Before they can carry out their plans, unexpected visitors arrive and they face a greater danger.","Director:TommyWirkola|Stars:NoomiRapace,AkselHennie,AtleAntonsen,ChristianRubeck",12818
46,The Deep House,2021,Not Rated,85,"Drama, Horror, Mystery",5.5,NA,A young and modern couple who go to France to explore an underwater house and share their findings on social media undergoes a serious change of plans when the couple enters the interior of...                See full summary »,"Directors:AlexandreBustillo,JulienMaury|Stars:CamilleRowe,JamesJagger,EricSavin,AlexisServaes",3723
47,Hereditary,2018,R,127,"Drama, Horror, Mystery",7.3,87,A grieving family is haunted by tragic and disturbing occurrences.,"Director:AriAster|Stars:ToniCollette,MillyShapiro,GabrielByrne,AlexWolff",276534
48,The Lighthouse,I 2019,R,109,"Drama, Fantasy, Horror",7.5,83,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,"Director:RobertEggers|Stars:RobertPattinson,WillemDafoe,ValeriiaKaraman,LoganHawkes",177371
49,I Know What You Did Last Summer,2021– ,TV-14,45,"Horror, Mystery, Thriller",5.3,NA,"In a town full of secrets, a group of teenagers are stalked by a mysterious killer a year after a fatal accident on their graduation night.","Stars:MadisonIseman,BrianneTju,BillHeck,EzekielGoodman",5400
